time,project,user,type,url,title,body,assigned,branch,branch_link,merge,add,del,hash
2016-04-27 17:22:50 -0300,mochadoom,Joaquin,commit,url/8ad78e46bc8c1309b3c00891ece32c05440a5061,,Cambiando firma de un metodo.,,mochadoom/branch,fake_url,,,,8ad78e46bc8c1309b3c00891ece32c05440a5061
2016-04-27 17:16:57 -0300,mochadoom,Joaquin,commit,url/adbd72b8cc82449e207364ec2936c057d669637f,,Se agregaron los zombies con sus colores sin sprite. Además de su velocidad.,,mochadoom/branch,fake_url,,,,adbd72b8cc82449e207364ec2936c057d669637f
2016-04-26 13:24:05 -0300,mochadoom,nicolasjara,commit,url/3faa362643f1d5bc90d3b7740dc33e6f56e903a3,,commit test 1,,mochadoom/branch,fake_url,,,,3faa362643f1d5bc90d3b7740dc33e6f56e903a3
2016-04-26 13:00:45 -0300,mochadoom,Joaquin,commit,url/262842b7979fa94ff8f88fd95cfb4de01dce972d,,Creación de los tipos de zombie.,,mochadoom/branch,fake_url,,,,262842b7979fa94ff8f88fd95cfb4de01dce972d
2016-04-23 20:08:32 -0300,mochadoom,Fabián Souto,commit,url/c6a3b061be394cc0d608859c5d4fec87e466b009,,RESUELTO: El cansancio y el tiempo de espera para comenzar a descansar dependen del nivel de dificultad del juego.,,mochadoom/branch,fake_url,,,,c6a3b061be394cc0d608859c5d4fec87e466b009
2016-04-23 19:37:30 -0300,mochadoom,Fabián Souto,commit,url/dbb7af74c2be1f0e2258ae8f7f808caa88c79e14,,Se quitaron unos print.,,mochadoom/branch,fake_url,,,,dbb7af74c2be1f0e2258ae8f7f808caa88c79e14
2016-04-23 19:35:46 -0300,mochadoom,Fabián Souto,commit,url/0ec64b77f2c22b2ba31f97eecf523b3388f6c940,,Se quitó el getGameSkill() del main     no era necesario. El status del game se les pasa a los players a través de updateStatus. El skill lo tiene DoomStatus. En updatestatus(DoomStatus DS) se setea el skill para ue el jugador lo sepa.,,mochadoom/branch,fake_url,,,,0ec64b77f2c22b2ba31f97eecf523b3388f6c940
2016-04-23 19:10:34 -0300,mochadoom,Fabián Souto,commit,url/c247459d1eae1d4463966df18b37ed05344a4bbc,,Se agregaron los setters para waitTired y maxTired de acuerdo al nivel de dificultad.,,mochadoom/branch,fake_url,,,,c247459d1eae1d4463966df18b37ed05344a4bbc
2016-04-23 19:00:48 -0300,mochadoom,Fabián Souto,commit,url/f1f9cea7dac203317da80081c548958bcbc1d3ab,,Se agregó un método para setear el skill del juego en el player. setGameSkill().,,mochadoom/branch,fake_url,,,,f1f9cea7dac203317da80081c548958bcbc1d3ab
2016-04-23 18:46:13 -0300,mochadoom,Fabián Souto,commit,url/4479bf65100ae34fe3c9103493a4a3227e1fdb54,,Se agregó un método en main que retorna el nivel de dificultad del juego (o también llamado skill).,,mochadoom/branch,fake_url,,,,4479bf65100ae34fe3c9103493a4a3227e1fdb54
2016-04-21 22:14:15 -0300,mochadoom,Fabián Souto,commit,url/550dbedc2b84365aa3af3b18899ac636d4b1909a,,Resuelta la issue 12: Ahora el jugador corre por un tiempo limitado     se cansa y debe esperar un rato para volver a correr.,,mochadoom/branch,fake_url,,,,550dbedc2b84365aa3af3b18899ac636d4b1909a
2016-04-20 17:37:54 -0300,mochadoom,Fabián Souto,commit,url/0b055e5fb937930efffa8ce414de5e9621cff3b6,,Founded the variable that manage how fast runs the player: PLAYERTHRUST,,mochadoom/branch,fake_url,,,,0b055e5fb937930efffa8ce414de5e9621cff3b6
2016-04-20 17:20:13 -0300,mochadoom,Fabián Souto,commit,url/c2393e7d0b544dc486ce4cf3e76adb41c85bad3e,,Added documentation in the player class     above the method that allow to move the player in the game.,,mochadoom/branch,fake_url,,,,c2393e7d0b544dc486ce4cf3e76adb41c85bad3e
2016-04-20 16:50:59 -0300,mochadoom,Joaquin,commit,url/0a20071e44d10e4fdeedd518857245b1d2b0e9b1,,My first commit.,,mochadoom/branch,fake_url,,,,0a20071e44d10e4fdeedd518857245b1d2b0e9b1
2016-04-27 12:28:04 -0300,TeraCity,francosep,commit,url/14d05b6deaed4292d057d7d670fb9581f32b7cb8,,Cambios de prueba,,TeraCity/branch,fake_url,,,,14d05b6deaed4292d057d7d670fb9581f32b7cb8
2016-04-26 13:21:26 -0300,TeraCity,Bastian Ermann,commit,url/4bc044ef0208cab166eb3a9973e554462b800d90,,Add functionality to add bookmarks on gui,,TeraCity/branch,fake_url,,,,4bc044ef0208cab166eb3a9973e554462b800d90
2016-04-26 12:57:18 -0300,TeraCity,francosep,commit,url/1c53717fcbce9f03f218c9278218e75927c75903,,Primeros cambios,,TeraCity/branch,fake_url,,,,1c53717fcbce9f03f218c9278218e75927c75903
2016-04-14 12:59:48 -0300,TeraCity,Bastian Ermann,commit,url/414db587ea98df1fe79e27a57a1cb0923cf03fe8,,Add popup to add bookmark,,TeraCity/branch,fake_url,,,,414db587ea98df1fe79e27a57a1cb0923cf03fe8
2016-04-14 12:40:25 -0300,TeraCity,Bastian Ermann,commit,url/6e6a06af0f3d773b393ee3bae9ed12798c29b55a,,Add "Add Bookmark" button to bookmarks menu,,TeraCity/branch,fake_url,,,,6e6a06af0f3d773b393ee3bae9ed12798c29b55a
2016-04-12 18:14:19 -0300,TeraCity,Bastian Ermann,commit,url/9f9af0a56496cd7ff0444c2f867f752209208ba7,,Add Bookmarks menu screen without functionality,,TeraCity/branch,fake_url,,,,9f9af0a56496cd7ff0444c2f867f752209208ba7
2016-04-12 13:27:51 -0300,TeraCity,Bastian Ermann,commit,url/971c77b625744b49c173bbf3aa978f88bde7ce21,,Add Bookmarks button to pause menu,,TeraCity/branch,fake_url,,,,971c77b625744b49c173bbf3aa978f88bde7ce21
2016-04-26 16:44:40 -0300,jswingRipples,Manuel Olguin,commit,url/1acb62ec843712de302adb5a6dad3f4154d00d96,,Fix visualization a bit.,,jswingRipples/branch,fake_url,,,,1acb62ec843712de302adb5a6dad3f4154d00d96
2016-04-26 16:21:01 -0300,jswingRipples,Manuel Olguin,commit,url/26b078db3f11a2482fd6b9c5ace3b34a7e1acc6e,,Added CSS to graph viz.,,jswingRipples/branch,fake_url,,,,26b078db3f11a2482fd6b9c5ace3b34a7e1acc6e
2016-04-26 15:48:40 -0300,jswingRipples,Manuel Olguin,commit,url/b2a52ccec9f22b62aac3bf6918ad4f8a1b57bb3f,,Added the Graphstrem UI dependency for prettier graphs,,jswingRipples/branch,fake_url,,,,b2a52ccec9f22b62aac3bf6918ad4f8a1b57bb3f
2016-04-26 15:45:22 -0300,jswingRipples,Manuel Olguin,commit,url/239089bbde9ee11301c9500466f45af94e25c35b,,Implemented simple Graph visualization.,,jswingRipples/branch,fake_url,,,,239089bbde9ee11301c9500466f45af94e25c35b
2016-04-26 15:30:57 -0300,jswingRipples,Manuel Olguin,commit,url/5545c99c0604a79ccb4360ce44509c0c6cd3e42e,,Implemented prepareGraph() -> build graph from EIG nodes and edges.,,jswingRipples/branch,fake_url,,,,5545c99c0604a79ccb4360ce44509c0c6cd3e42e
2016-04-26 13:30:38 -0300,jswingRipples,Manuel Olguin,commit,url/45d8100f212972e38423c46212ed25b98001d101,,Starting implementing GraphBuilder class.,,jswingRipples/branch,fake_url,,,,45d8100f212972e38423c46212ed25b98001d101
2016-04-26 13:05:08 -0300,jswingRipples,Manuel Olguin,commit,url/91b415b9d0e73b4fcf79ccb338500fb52ccfb42f,,Added Graph test. To be removed when integration is finished.,,jswingRipples/branch,fake_url,,,,91b415b9d0e73b4fcf79ccb338500fb52ccfb42f
2016-04-26 12:57:21 -0300,jswingRipples,fcoclavero,commit,url/d5db6be8d5e5c1513e7ebeb9ee02c71c1019800e,,Added lucene search library dependency to pom.xml,,jswingRipples/branch,fake_url,,,,d5db6be8d5e5c1513e7ebeb9ee02c71c1019800e
2016-04-26 12:56:42 -0300,jswingRipples,Manuel Olguin,commit,url/2baf56301a8d54db716e32bccc48241e653765c5,,Added Graphstream library (algorithms) to Maven dependencies.,,jswingRipples/branch,fake_url,,,,2baf56301a8d54db716e32bccc48241e653765c5
2016-04-26 12:24:29 -0300,jswingRipples,Manuel Olguin,commit,url/47153ee16d96817bd0c33615572df19e48260afe,,Merge remote-tracking branch 'origin/master',,jswingRipples/branch,fake_url,,,,47153ee16d96817bd0c33615572df19e48260afe
2016-04-26 12:24:15 -0300,jswingRipples,Manuel Olguin,commit,url/4efb02c42633a4567743d939be93b4069f05e89c,,Added Graphstream library to Maven dependencies.,,jswingRipples/branch,fake_url,,,,4efb02c42633a4567743d939be93b4069f05e89c
2016-04-26 12:12:11 -0300,jswingRipples,rdelgadov,commit,url/6fb50ea10d3f01fd2fcc4efd8798b2ec55c0cb7f,,finish commit to do the merge,,jswingRipples/branch,fake_url,,,,6fb50ea10d3f01fd2fcc4efd8798b2ec55c0cb7f
2016-04-22 15:27:20 -0300,jswingRipples,rdelgadov,commit,url/fd3e9fd80cb632fcefbeccabaec22739952749f6,,add Import option to the File menu,,jswingRipples/branch,fake_url,,,,fd3e9fd80cb632fcefbeccabaec22739952749f6
2016-04-20 00:48:47 -0300,jswingRipples,rdelgadov,commit,url/7d5043592a3d0e6e1735394ece28390c82fb43d7,,add the label 'Import Project' to the menu File without functionallity,,jswingRipples/branch,fake_url,,,,7d5043592a3d0e6e1735394ece28390c82fb43d7
2016-04-05 11:47:51 -0300,jswingRipples,noahmelto,commit,url/021b0f140082a4fe97fb703d0c73d98292344105,,Delete test.txt,,jswingRipples/branch,fake_url,,,,021b0f140082a4fe97fb703d0c73d98292344105
2016-04-05 10:44:51 -0400,jswingRipples,noahmelto,commit,url/13afcfd2d9a1f6d8bd23de79d99f91ab1a4c2e70,,1er Commit prueba,,jswingRipples/branch,fake_url,,,,13afcfd2d9a1f6d8bd23de79d99f91ab1a4c2e70
2016-04-27 17:23:19 -0300,logisim,Nicolas Caracci,commit,url/a4b9f76d39dbb99e9a14e85984c62a4bb8c0325e,,Resistencia guarda su direccion al moverse,,logisim/branch,fake_url,,,,a4b9f76d39dbb99e9a14e85984c62a4bb8c0325e
2016-04-27 17:20:56 -0300,logisim,Sergio,commit,url/a0775876ff630a83f7f9fddffe98d27b0489ae7c,,ID en Capacitores,,logisim/branch,fake_url,,,,a0775876ff630a83f7f9fddffe98d27b0489ae7c
2016-04-27 16:05:00 -0300,logisim,IsmaelAlvarez,commit,url/0953d5355dca7044b651c1f246314842af7d1674,,Solucionado problema con gradle/maven,,logisim/branch,fake_url,,,,0953d5355dca7044b651c1f246314842af7d1674
2016-04-26 13:28:26 -0300,logisim,Sergio,commit,url/3072b34685e0516e5dce1ce21d04aaa3579619fd,,Capacitor     Incio del Manejo del tiempo,,logisim/branch,fake_url,,,,3072b34685e0516e5dce1ce21d04aaa3579619fd
2016-04-26 12:05:02 -0300,logisim,Nicolas Caracci,commit,url/f4a4224d224c44b831e92a950e7edd7286f63ad3,,Agregada opcion para cambiar orientacion de led,,logisim/branch,fake_url,,,,f4a4224d224c44b831e92a950e7edd7286f63ad3
2016-04-20 17:32:54 -0300,logisim,Nicolas Caracci,commit,url/8686362b19178c691c82ac1b8f7e78952690de2a,,Resistencia bidireccional     hay que resetear la simulacion para que funcione.,,logisim/branch,fake_url,,,,8686362b19178c691c82ac1b8f7e78952690de2a
2016-04-20 17:03:31 -0300,logisim,Nicolas Caracci,commit,url/8a47014d8ccd6097bed3e1a11dbe22605f1d27f1,,Merge branch 'resistencia_voltage' of https://github.com/IsmaelAlvarez/logisim into resistencia_voltage,,logisim/branch,fake_url,,,,8a47014d8ccd6097bed3e1a11dbe22605f1d27f1
2016-04-20 16:23:26 -0300,logisim,Nicolas Caracci,commit,url/fd9c31e003353e2a3a1fcf1e91a82a8912622db7,,Agregar resistencia a state,,logisim/branch,fake_url,,,,fd9c31e003353e2a3a1fcf1e91a82a8912622db7
2016-04-19 19:56:32 -0300,logisim,Vicente Rotman,commit,url/bc64a6c208e7a69df971d05ee59ed17ac22f20ea,,Fix integration conflicts,,logisim/branch,fake_url,,,,bc64a6c208e7a69df971d05ee59ed17ac22f20ea
2016-04-19 13:22:12 -0300,logisim,Vicente Rotman,commit,url/228e5a5ce9040b59dc3308e6324f46ef0f100747,,Se cambiaron los atributos del factory a la instance y se calcula resistencia total en serie,,logisim/branch,fake_url,,,,228e5a5ce9040b59dc3308e6324f46ef0f100747
2016-04-14 13:07:08 -0300,logisim,Sergio,commit,url/630f5c4d475f314e3b4cc599350d6131362f1a77,,Minor bug fixes,,logisim/branch,fake_url,,,,630f5c4d475f314e3b4cc599350d6131362f1a77
2016-04-14 12:51:51 -0300,logisim,Nicolas Caracci,commit,url/0664ac361841fe954ffd48a64f70f738eb8b9d39,,Cambiar valores de voltaje y corriente a double     reducir la corriente constante,,logisim/branch,fake_url,,,,0664ac361841fe954ffd48a64f70f738eb8b9d39
2016-04-14 12:16:47 -0300,logisim,Nicolas Caracci,commit,url/3d6956ad0258b55e96cbf09a17f0323941077a79,,Resistencia envia voltaje de salida y avisa si se quema,,logisim/branch,fake_url,,,,3d6956ad0258b55e96cbf09a17f0323941077a79
2016-04-13 23:16:00 -0300,logisim,Sergio,commit,url/5d41e1e03092c204bf172976bb4c677d17b2c93d,,Added state and menu items for analog simulation,,logisim/branch,fake_url,,,,5d41e1e03092c204bf172976bb4c677d17b2c93d
2016-04-13 08:51:07 -0300,logisim,Nicolas Caracci,commit,url/8f654c9bb3ada7e95027b1ade0137fb42d556f23,,Merge branch 'voltage' of https://github.com/IsmaelAlvarez/logisim into resistencia_voltage,,logisim/branch,fake_url,,,,8f654c9bb3ada7e95027b1ade0137fb42d556f23
2016-04-13 08:45:06 -0300,logisim,Nicolas Caracci,commit,url/46fe589d056fae952f51ab2bc3d7e79479f1cfb9,,Resistor ends voltage,,logisim/branch,fake_url,,,,46fe589d056fae952f51ab2bc3d7e79479f1cfb9
2016-04-12 13:21:37 -0300,logisim,Vicente Rotman,commit,url/b2f1eb92a3372dea48c6720ff9464e5b41ab76d3,,Change voltage data to value,,logisim/branch,fake_url,,,,b2f1eb92a3372dea48c6720ff9464e5b41ab76d3
2016-04-12 13:12:08 -0300,logisim,Vicente Rotman,commit,url/e1b056dcd6c686fc0d3b38a2885b70da0d23a24e,,Add Resitance and Resistance multiplier values,,logisim/branch,fake_url,,,,e1b056dcd6c686fc0d3b38a2885b70da0d23a24e
2016-04-12 12:35:57 -0300,logisim,Vicente Rotman,commit,url/0f5a9ec948b0e15ded08e3870d3ea00017de151f,,Set voltage range between 4V - 20V,,logisim/branch,fake_url,,,,0f5a9ec948b0e15ded08e3870d3ea00017de151f
2016-04-12 12:18:35 -0300,logisim,Vicente Rotman,commit,url/81bb3ab8f6712ebf28391c43557d428ac89d3dc0,,Add voltage to value,,logisim/branch,fake_url,,,,81bb3ab8f6712ebf28391c43557d428ac89d3dc0
2016-04-07 13:11:14 -0300,logisim,Nicolas Caracci,commit,url/f8291b1448a17cfca9d2aec64a5f519be0cf4598,,Resitencia entrega lo mismo que recibe,,logisim/branch,fake_url,,,,f8291b1448a17cfca9d2aec64a5f519be0cf4598
